สถานพยาบาลที่ได้รับการรับรองกระบวนการคุณภาพสถานพยาบาล (HA) และขั้นก้าวหน้า (A-HA) (ข้อมูล ณ 30 พฤศจิกายน 2563),,,,,,,,,
เขต,จังหวัด,โรงพยาบาล,H Code,สังกัด,ชนิดรพ.,ขั้นปัจจุบัน,วันรับรอง,วันหมดอายุ,หมายเหตุ
1,เชียงราย,ป่าแดด,11191,รัฐในสังกัดสป.สธ.,รพช.,r4,9-พ.ค.-20,8-พ.ค.-21,
1,เชียงราย,เกษมราษฎร์ ศรีบุรินทร์,12026,เอกชน,สมาคมโรงพยาบาลเอกชน,r2,12-ก.พ.-19,11-ก.พ.-22,
1,เชียงราย,พาน,11190,รัฐในสังกัดสป.สธ.,รพช.,r2,11-มิ.ย.-19,10-มิ.ย.-22,
1,เชียงราย,เวียงเชียงรุ้ง,11202,รัฐในสังกัดสป.สธ.,รพช.,3,15-ม.ค.-19,14-ม.ค.-21,
1,เชียงราย,เชียงรายประชานุเคราะห์,10674,รัฐในสังกัดสป.สธ.,รพศ.,r5,24-มี.ค.-20,23-มี.ค.-21,
1,เชียงราย,แม่สาย,11194,รัฐในสังกัดสป.สธ.,รพช.,r4,14-ส.ค.-18,13-ส.ค.-21,
1,เชียงราย,แม่ลาว,11201,รัฐในสังกัดสป.สธ.,รพช.,r1,24-เม.ย.-18,23-เม.ย.-21,
1,เชียงราย,ขุนตาล,11199,รัฐในสังกัดสป.สธ.,รพช.,r3,21-ก.พ.-19,20-ก.พ.-22,
1,เชียงราย,เวียงแก่น,11198,รัฐในสังกัดสป.สธ.,รพช.,r2,21-ก.พ.-19,20-ก.พ.-22,
1,เชียงราย,โอเวอร์บรุ๊ค,12024,เอกชน,สมาคมโรงพยาบาลเอกชน,r4,8-ส.ค.-20,7-ส.ค.-21,
1,เชียงราย,ค่ายเม็งรายมหาราช,14933,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r2,11-ก.ย.-18,10-ก.ย.-21,
1,เชียงราย,เทิง,11189,รัฐในสังกัดสป.สธ.,รพช.,r1,11-ก.พ.-20,10-ก.พ.-23,
1,เชียงราย,สมเด็จพระญาณสังวร,15012,รัฐในสังกัดสป.สธ.,รพช.,r3,14-พ.ค.-19,13-พ.ค.-22,
1,เชียงราย,เกษมราษฎร์ แม่สาย โรงพยาบาลทั่วไปขนาดเล็ก,41417,เอกชน,เอกชน,0,,,
1,เชียงราย,เวียงป่าเป้า,11196,รัฐในสังกัดสป.สธ.,รพช.,r2,19-ธ.ค.-20,18-ธ.ค.-21,
1,เชียงราย,แม่จัน,11192,รัฐในสังกัดสป.สธ.,รพช.,r4,19-ธ.ค.-20,18-ธ.ค.-21,
1,เชียงราย,เชียงแสน,11193,รัฐในสังกัดสป.สธ.,รพช.,r3,3-มี.ค.-20,2-มี.ค.-23,
1,เชียงราย,แม่ฟ้าหลวง,11200,รัฐในสังกัดสป.สธ.,รพช.,r1,22-ต.ค.-18,21-ต.ค.-21,
1,เชียงราย,แม่สรวย,11195,รัฐในสังกัดสป.สธ.,รพช.,r2,12-ก.ย.-20,11-ก.ย.-21,
1,เชียงราย,ทั่วไปขนาดกลางกรุงเทพเชียงราย,41574,เอกชน,เอกชน,0,,,
1,เชียงราย,เชียงรายอินเตอร์โรงพยาบาลทั่วไปขนาดกลาง,41326,เอกชน,เอกชน,0,,,
1,เชียงราย,พญาเม็งราย,11197,รัฐในสังกัดสป.สธ.,รพช.,r3,14-ม.ค.-20,13-ม.ค.-23,
